scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,trendLength,capRegime,capPpnChange,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,rho,adjustAge,adjustForecast
stationary,stationary,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
incLinearProd,incLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
incLinearCap,incLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
incLinearProdCap,incLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
decLinearProd,decLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
decLinearCap,decLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
decLinearProdCap,decLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
regimeProd,regimeProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,regime,2,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
regimeCap,regimeCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,regime,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
regimeProdCap,regimeProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,regime,2,50,regime,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0,1,1
stationary_lowRicSig,stationary,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,0.66,0,1,1
incLinearProd_lowRicSig,incLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,0.66,0,1,1
incLinearCap_lowRicSig,incLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,0.66,0,1,1
incLinearProdCap_lowRicSig,incLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,0.66,0,1,1
decLinearProd_lowRicSig,decLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,0.66,0,1,1
decLinearCap_lowRicSig,decLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,0.66,0,1,1
decLinearProdCap_lowRicSig,decLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,0.66,0,1,1
stationary_highRicSig,stationary,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1.33,0,1,1
incLinearProd_highRicSig,incLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1.33,0,1,1
incLinearCap_highRicSig,incLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1.33,0,1,1
incLinearProdCap_highRicSig,incLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1.33,0,1,1
decLinearProd_highRicSig,decLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1.33,0,1,1
decLinearCap_highRicSig,decLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1.33,0,1,1
decLinearProdCap_highRicSig,decLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1.33,0,1,1
stationary_ar,stationary,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0.4,1,1
incLinearProd_ar,incLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0.4,1,1
incLinearCap_ar,incLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0.4,1,1
incLinearProdCap_ar,incLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,2,50,linear,2,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0.4,1,1
decLinearProd_ar,decLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,1,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0.4,1,1
decLinearCap_ar,decLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0.4,1,1
decLinearProdCap_ar,decLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,0.5,50,linear,0.5,FALSE,0,FALSE,0,0.25,0,0,0,0,0,0,NA,1,1,0.4,1,1
